size,standart,winograd,opt_winograd
5,0.000,156.250,0.000
10,156.250,156.250,0.000
15,1250.000,156.250,312.500
20,781.250,1250.000,1250.000
25,1718.750,2187.500,2500.000
30,3750.000,4687.500,3125.000
35,6250.000,5937.500,4687.500
40,8281.250,8437.500,9531.250
45,12343.750,13906.250,12031.250
50,17812.500,18125.000,15781.250
55,24843.750,23437.500,20312.500
60,31093.750,30937.500,27031.250
65,38281.250,39687.500,34687.500
70,50000.000,50937.500,42500.000
75,59843.750,60312.500,53281.250
80,73281.250,75781.250,62968.750
85,87656.250,90781.250,78593.750
90,105156.250,106875.000,93281.250
95,124375.000,125468.750,109687.500
100,143281.250,146875.000,124062.500
